117;198;
789;53;
638;248;
59;115;
792;590;
231;126;
263;498;
370;126;
260;737;
526;683;
568;374;
220;722;
521;332;
608;59;
500;606;
594;777;
124;401;
695;609;
545;565;
175;623;
213;775;
48;581;
267;763;
179;293;
17;24;
237;288;
64;484;
481;768;
529;194;
403;740;
274;568;
608;10;
313;502;
173;306;
633;468;
221;735;
19;156;
647;65;
14;392;
167;370;
170;621;
180;702;
497;120;
18;454;
271;151;
553;582;
164;667;
149;117;
599;188;
511;302;
749;798;
108;109;
122;19;
469;187;
472;482;
407;430;
790;262;
267;11;
338;58;
793;525;
74;51;
168;170;
336;718;
25;276;
316;12;
213;542;
422;602;
644;607;
564;342;
64;412;
80;304;
105;481;
478;13;
26;783;
268;754;
28;61;
587;703;
282;344;
734;185;
340;493;
689;684;
568;489;
715;209;
173;63;
102;301;
274;617;
383;378;
231;370;
585;170;
170;244;
71;9;
453;414;
250;578;
101;760;
375;740;
398;617;
637;615;
110;761;
69;426;
368;243;
